"codePersonnel","telephone","nom","prenom","adresse","courriel","nomRang","nomTitre","nomDignite","nomGrade","SIRET"
"5","06 27 25 60 83","Joly","Luce","7, boulevard Da Costa, 80624 Joly","renelebreton@example.com","NULL","Honorable","Maître","Sympathisant","19685774407057"
"6","07 94 11 76 92","Guichard","Laurence","18, rue Gaudin, 02557 Ramos","leleumanon@example.org","NULL","NULL","NULL","Affilié","68714397588616"
"7","+33 5 56 91 85 64","Ramos","Tristan","3, boulevard Chantal Mary, 34713 Roussel","raymondcoulon@example.com","NULL","NULL","NULL","Sympathisant","78362604882569"
"8","+33 3 68 99 60 65","Morin","Capucine","83, chemin Barre, 65300 Sainte ColetteVille","suzanne76@example.com","Novice","Honorable","NULL","Sympathisant","02526352213414"
"9","04 86 63 23 48","Jacob","Guy","90, rue Vidal, 05102 Saint Pierre","etienneguillon@example.net","NULL","NULL","NULL","Affilié","56174446444280"
"10","0631667637","Guillot","Augustin","55, rue Alice Bouvier, 81252 Carre-la-Forêt","gerardpereira@example.org","Compagnon","NULL","NULL","Commandeur","31553293661047"
"11","+33 6 05 84 88 45","Legrand","Jean","9, rue Millet, 20543 Bigot-sur-Mer","rdelorme@example.com","Novice","NULL","NULL","Affilié","31553293661047"
"12","0470136337","Descamps","Pierre","383, chemin de Garcia, 40569 Leroy","thibaultallard@example.org","Compagnon","NULL","NULL","Chevalier","23602879255681"
"13","+33 (0)2 69 22 81 45","Ribeiro","Étienne","246, rue de Lombard, 35780 Renard","isaacgerard@example.com","Compagnon","NULL","Maître","Affilié","78362604882569"
"14","0547627727","Pruvost","Alex","43, rue Lorraine Faivre, 59506 Gosselinboeuf","qlaine@example.com","Novice","Honorable","NULL","Adhérent","23925132107441"
"15","06 54 35 25 33","Leblanc","Christiane","3, boulevard Marchand, 95313 BoutinVille","fischerroger@example.net","NULL","NULL","NULL","Sympathisant","02526352213414"
"16","0478016958","Salmon","Christelle","boulevard Marie, 52351 Saint Élise","elodie99@example.net","NULL","NULL","NULL","Adhérent","02526352213414"
"17","02 61 07 30 25","Buisson","Marcelle","7, rue Marcel Mercier, 35653 Costadan","julie61@example.net","Compagnon","NULL","Grand Maître","Adhérent","29930408962222"
"18","+33 4 81 16 63 12","Raynaud","Claude","23, avenue Thibault, 35717 Roux","marincapucine@example.net","NULL","NULL","NULL","Adhérent","02449700136287"
"19","+33 4 22 11 80 93","Pierre","Sabine","99, chemin de Guérin, 12740 Besnard","ybouchet@example.net","NULL","NULL","NULL","Sympathisant","04168713387698"
"20","0153277206","Bernier","Laurent","rue Noël Hervé, 84687 Guillaume-sur-Alves","maggie06@example.net","Compagnon","Protecteur","NULL","Sympathisant","23602879255681"
"21","03 69 95 00 24","Didier","Odette","52, rue Charpentier, 36942 Pottier","jacques65@example.com","NULL","NULL","NULL","Chevalier","23602879255681"
"22","02 21 89 22 16","Lopes","Gabrielle","13, boulevard Camille Jourdan, 48667 Brun","margaux54@example.com","NULL","NULL","NULL","Chevalier","78362604882569"
"23","+33 (0)3 81 18 32 52","Bazin","Aurélie","2, boulevard Nathalie Duhamel, 86330 Perretdan","xschneider@example.com","Novice","Protecteur","NULL","Grand Chevalier","23925132107441"
"24","0269626051","Dias","Pénélope","30, rue de Berger, 63385 Dumont","wteixeira@example.net","Compagnon","NULL","NULL","Sympathisant","02526352213414"
"25","+33 7 51 92 08 85","Bodin","Astrid","36, rue Céline Voisin, 06595 Leconte","augustin41@example.net","NULL","Honorable","NULL","Affilié","78362604882569"
"26","03 60 23 74 65","Vasseur","Bernard","boulevard Pinto, 43521 Gaillard","frederique43@example.com","Compagnon","NULL","NULL","Chevalier","23925132107441"
"27","0256496642","Gonzalez","Amélie","56, rue Sophie Joubert, 53540 Leleu-les-Bains","bernardcharpentier@example.net","NULL","Philanthrope","NULL","Sympathisant","32793706817473"
"28","+33 2 31 53 25 92","Aubert","Manon","66, chemin Gilles Lopez, 11519 Saint Martinedan","nathalie53@example.net","Compagnon","Honorable","NULL","Affilié","23925132107441"
"29","04 72 26 62 73","Delaunay","Bertrand","31, boulevard Marc Becker, 47903 Guillounec","foucherjosette@example.net","Compagnon","NULL","Grand Chancelier","Sympathisant","23925132107441"
"30","+33 3 62 35 14 06","Collet","Lucy","43, rue Lefort, 05428 Berthelot-sur-Mer","rogerbonneau@example.com","Compagnon","NULL","NULL","Grand Chevalier","29930408962222"
"31","04 63 19 14 16","Fleury","Georges","39, rue Gomes, 97289 Vidal","bertrandfrederic@example.net","NULL","NULL","NULL","Affilié","45277421215781"
"32","+33 (0)3 73 72 27 35","Guillet","Alfred","7, rue Hortense Chartier, 81559 Klein-sur-Prévost","thomasdenise@example.com","Compagnon","Philanthrope","NULL","Sympathisant","02526352213414"
"33","0255295192","Royer","Nathalie","5, rue de Martinez, 48182 LenoirBourg","vbonnet@example.net","NULL","Protecteur","NULL","Sympathisant","19685774407057"
"34","+33 (0)2 34 25 62 47","Deschamps","Jean","56, avenue Andre, 03749 Laporte","sabine23@example.org","NULL","NULL","NULL","Grand'Croix","56174446444280"
"35","+33 (0)3 89 65 29 96","Hubert","Hélène","73, rue Gérard Bertrand, 69578 Benoit-les-Bains","vchauveau@example.com","Compagnon","NULL","NULL","Sympathisant","29930408962222"
"36","+33 (0)1 58 33 75 18","Raynaud","Thierry","rue Carre, 44946 Clément","verdierpenelope@example.net","Compagnon","NULL","NULL","Sympathisant","56174446444280"
"37","+33 (0)4 92 03 60 37","Paris","Céline","624, chemin de Courtois, 21733 Sainte François-le","teixeiraalex@example.com","Novice","Protecteur","NULL","Adhérent","66774841166811"
"38","+33 5 90 41 10 97","Perrin","Alain","5, chemin de Lévy, 31513 Mary-la-Forêt","marinnoemi@example.org","Compagnon","NULL","NULL","Chevalier","78362604882569"
"39","+33 (0)6 06 34 76 25","Neveu","Pénélope","22, avenue de Godard, 05640 Martinez","constancegrenier@example.com","NULL","Honorable","Grand Chancelier","Affilié","45277421215781"
"40","+33 (0)5 08 96 61 23","Lefèvre","Raymond","45, rue Émilie Maillot, 77988 LebretonBourg","camusvirginie@example.org","Novice","NULL","NULL","Grand Chevalier","23602879255681"
"41","+33 (0)2 50 96 23 62","Valette","Charlotte","994, rue Gabriel Dijoux, 97337 Sainte Robertdan","tlecomte@example.com","Compagnon","NULL","Grand Chancelier","Chevalier","31553293661047"
"42","03 51 86 53 02","Deschamps","Dorothée","75, rue Henry, 33115 Sainte LucBourg","huetchristiane@example.net","Novice","NULL","NULL","Affilié","29930408962222"
"43","0415323118","Martel","Lucas","8, rue Benoit, 24122 Gérard-sur-Payet","luce96@example.org","NULL","NULL","NULL","Grand Chevalier","56174446444280"
"44","03 75 69 03 04","Gomez","Olivie","6, avenue Thérèse Ledoux, 09670 Valletdan","celinelenoir@example.org","Novice","NULL","NULL","Affilié","78362604882569"
"45","+33 3 64 65 39 77","Vallée","Claire","134, rue Caron, 64213 Bourdon-sur-Fabre","apeltier@example.org","Novice","NULL","NULL","Sympathisant","78362604882569"
"46","+33 (0)4 58 42 42 89","Dias","Astrid","74, chemin Suzanne Fischer, 06912 Boyer","jolydenis@example.net","Novice","NULL","NULL","Sympathisant","02526352213414"
"47","+33 5 61 39 31 51","Roche","Sabine","8, rue Geneviève Albert, 04410 Danielnec","plemaire@example.com","Novice","Honorable","NULL","Sympathisant","04168713387698"
"48","+33 4 79 46 37 14","Lévêque","Édouard","91, boulevard Normand, 32417 Lecomte","philippinemonnier@example.org","NULL","NULL","Grand Maître","Sympathisant","68714397588616"
"49","0579973837","Lemaire","Christine","13, chemin Lambert, 62619 Saint Valérie","jacquetchristine@example.com","Compagnon","Protecteur","NULL","Adhérent","02449700136287"
"50","+33 7 58 85 73 38","Roussel","Olivier","67, rue Étienne Blin, 63307 Lainenec","margueriteparent@example.com","Novice","NULL","NULL","Affilié","32793706817473"
"51","04 67 88 38 76","Navarro","Louise","avenue de Jacob, 47761 Hardydan","iramos@example.net","NULL","NULL","NULL","Chevalier","78414032873034"
"52","05 47 64 71 38","Léger","Margot","39, rue de Baudry, 84601 Tanguy","svaillant@example.com","NULL","NULL","Grand Maître","Grand Chevalier","29930408962222"
